Ref,Val,Package,PosX,PosY,Rot,Side
"R23","10k","R_0201_0603Metric",34.000000,-9.050000,90.000000,top
"R26","10k","R_0201_0603Metric",30.280000,-3.800000,180.000000,top
"R29","10k","R_0201_0603Metric",33.000000,-1.100000,-90.000000,top
"R30","120","R_0201_0603Metric",30.830000,-2.600000,0.000000,top
"R31","0.005","FC4L32",3.400000,-31.100000,90.000000,top
"R32","0.005","FC4L32",11.300000,-31.100000,90.000000,top
"R33","120","R_0201_0603Metric",12.100000,-26.070000,90.000000,top
"R34","120","R_0201_0603Metric",12.900000,-25.570000,90.000000,top
"R35","120","R_0201_0603Metric",13.700000,-25.070000,90.000000,top
"R37","1k","R_0201_0603Metric",13.700000,-23.570000,-90.000000,top
"R38","10k","R_0201_0603Metric",14.020000,-22.500000,0.000000,top
"R39","0.005","FC4L32",16.600000,-31.100000,90.000000,top
"R40","0.005","FC4L32",33.875000,-31.100000,90.000000,top
"R41","0.005","FC4L32",39.200000,-31.100000,90.000000,top
"R42","120","R_0201_0603Metric",47.100000,-26.070000,90.000000,top
"R43","120","R_0201_0603Metric",47.900000,-25.570000,90.000000,top
"R44","120","R_0201_0603Metric",48.700000,-25.070000,90.000000,top
"R45","1k","R_0201_0603Metric",48.000000,-22.930000,90.000000,top
"R46","10k","R_0201_0603Metric",48.875000,-22.930000,90.000000,top
"R47","0.005","FC4L32",47.100000,-31.100000,90.000000,top
"R51","100k","R_0201_0603Metric",26.520000,-28.100000,180.000000,top
"R52","22.1k","R_0201_0603Metric",26.200000,-29.320000,-90.000000,top
"R53","100k","R_0201_0603Metric",21.520000,-28.100000,180.000000,top
"R54","100k","R_0201_0603Metric",21.200000,-29.320000,-90.000000,top
"R62","4.7","R_0805_2012Metric",2.000000,-27.000000,-90.000000,top
"R64","4.7","R_0805_2012Metric",8.400000,-29.900000,-90.000000,top
"R65","10k","R_0201_0603Metric",18.100000,-21.400000,0.000000,top
"R66","10k","R_0201_0603Metric",16.595000,-21.400000,180.000000,top
"R69","4.7","R_0805_2012Metric",6.300000,-29.900000,-90.000000,top
"R70","2.2","R_0805_2012Metric",3.800000,-43.500000,0.000000,top
"R71","2.2","R_0805_2012Metric",10.800000,-43.500000,0.000000,top
"R72","2.2","R_0805_2012Metric",16.800000,-43.500000,0.000000,top
"R73","4.7","R_0805_2012Metric",37.100000,-27.000000,-90.000000,top
"R74","2.2","R_0805_2012Metric",33.800000,-43.500000,180.000000,top
"R75","4.7","R_0805_2012Metric",42.100000,-29.900000,-90.000000,top
"R76","2.2","R_0805_2012Metric",39.100000,-43.500000,180.000000,top
"R77","4.7","R_0805_2012Metric",44.200000,-29.900000,-90.000000,top
"R78","2.2","R_0805_2012Metric",46.000000,-43.500000,180.000000,top
"SW1","B3U-3100P-B","SW_SPST_B3U-1000P-B",36.000000,-2.000000,180.000000,top
"U1","74LVC2G17","SOT886_USON_6_1.45x1.0mm_P0.5mm",23.325000,-22.700000,90.000000,top
"U2","74LVC2G17","SOT886_USON_6_1.45x1.0mm_P0.5mm",25.325000,-22.700000,90.000000,top
"U3","74LVC2G17","SOT886_USON_6_1.45x1.0mm_P0.5mm",27.325000,-22.700000,90.000000,top
"U5","DSLVDS1048","TSSOP-16_4.4x5mm_P0.65mm",38.600000,-6.600000,180.000000,top
"U6","TMS320F28388D","NFBGA_337",25.000000,-12.500000,90.000000,top
"U9","DRV8353S","QFN-40-1EP_6x6mm_P0.5mm_EP4.6x4.6mm",8.000000,-23.500000,0.000000,top
"U10","DRV8353S","QFN-40-1EP_6x6mm_P0.5mm_EP4.6x4.6mm",43.000000,-23.500000,0.000000,top
"U12","MPM3804GG","QFN-10_2x2mm_P0.5mm",28.000000,-30.000000,90.000000,top
"U13","MPM3804GG","QFN-10_2x2mm_P0.5mm",23.000000,-30.000000,90.000000,top
"U14","LT6654AIS6-3","TSOT-23-6",30.500000,-23.000000,0.000000,top
"U16","BMI088","Bosch_LGA-16_4.5x3.0mm_P0.5mm",45.000000,-14.000000,0.000000,top
"U17","TCAN330G","SOT-23-8",20.500000,-23.650000,-90.000000,top
"U18","THVD24x0","VSON-8-1EP_3.0x3.0mm_P0.65mm_EP1.65x2.4mm",16.600000,-23.650000,-90.000000,top
"U19","74LVC2G17","SOT886_USON_6_1.45x1.0mm_P0.5mm",14.600000,-6.680000,0.000000,top
"U20","TS3USB221E","UQFN-10_1.5x2mm_P0.5mm",18.250000,-27.500000,-90.000000,top
